source_row,index,valid,issues,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
62,62,True,,1010.8551962887251,-332.230137820923,1089.8964728379203,-0.4937247570124014,-0.11252015536122292,0.8623079954114605,-0.35140079680699976,0.9328458163180784,-0.0794742913228152,-0.7954579462903433,-0.3422541418527236,-0.5001087462424596
63,63,True,,1012.1370869550162,-331.45451082885614,1087.815185392562,-0.48420334489581224,-0.1087902627497315,0.8681657673063085,-0.3600461444912865,0.9291105914337973,-0.0843817677137617,-0.7974420948436737,-0.35343767147318067,-0.4890479708116059
64,64,True,,1013.2803977125941,-331.17697041266814,1085.6322672848228,-0.47579490953281417,-0.105450693217439,0.8732120907102827,-0.37203587258635834,0.9237308042955684,-0.091163099466667,-0.7969996948378139,-0.36824116078383207,-0.47873785512846995
65,65,True,,1014.0181623718531,-333.92395845085207,1082.1302312227826,-0.46990110957055764,-0.10369443348234535,0.8766073303875199,-0.4040693352040682,0.9081905678579222,-0.10916897362184652,-0.7848062942994922,-0.40550876306028266,-0.4686594963395261
66,66,True,,1014.7145843805263,-336.47560714854274,1079.0421830576506,-0.464753542345057,-0.10171933845830261,0.8795779221088524,-0.43355354758146164,0.8922905224202771,-0.1258925930246837,-0.7720333323485784,-0.4398531570678498,-0.4587959611419817
67,67,True,,1015.9025888885731,-336.0805268217956,1077.1163636558463,-0.4570365352697204,-0.0975269236431233,0.8840848967114856,-0.44365402282510263,0.8864892997318853,-0.13155922427551398,-0.7709012345688344,-0.45235519299061894,-0.4484262101111698
68,68,True,,1017.5167856476023,-335.87540716915714,1074.7745277955783,-0.4468273911607645,-0.09168848557571302,0.8899092673533058,-0.45475821087549245,0.8799089410700638,-0.13767797596667478,-0.7704156359717698,-0.46621183708459335,-0.43486350825566206
69,69,True,,1019.0557165129499,-335.8193091877764,1072.4682513953749,-0.4371282091377136,-0.0861667612233148,0.8952620946048926,-0.4665166647851729,0.8727473330207413,-0.14378558405800643,-0.7689480673321014,-0.480507421342759,-0.42170070877431354
70,70,True,,1020.1290409952795,-336.9628314554209,1070.0264370904447,-0.4303615094418006,-0.08235439647821705,0.8988919426558921,-0.48510906908408635,0.860896755296879,-0.15338177144522946,-0.7612214935768341,-0.502070244189012,-0.4104476916936429
71,71,True,,1021.1175969979043,-340.3864159846368,1066.6934006528427,-0.4242131442885001,-0.07880434130798036,0.9021269777608247,-0.5160140230754438,0.8396828846611357,-0.1692990879970992,-0.7441590799031883,-0.5373290695636795,-0.3968686619014796
72,72,True,,1022.7104360153554,-342.72695887676275,1063.6065333920126,-0.41532974689598995,-0.07240974984458068,0.9067844448769278,-0.5397486014082269,0.8220102692519897,-0.1815779846846377,-0.7322381092385017,-0.5648503743220117,-0.3804883782812654
73,73,True,,1024.8161377320998,-342.2143917219045,1061.4155684641933,-0.40407974882762304,-0.06370513357954367,0.912502719197602,-0.5476689146144653,0.8158583227298828,-0.18556388979916308,-0.7326515655838174,-0.5747319837872215,-0.36456114749049506
74,74,True,,1026.9403270084479,-342.59827441645126,1058.9089679816648,-0.39289073682428477,-0.05491816858945668,0.9179438238130102,-0.5601203168868917,0.8059687794256054,-0.1915190779053826,-0.7293161862513398,-0.5894050571126618,-0.34741844959906976
75,75,True,,1028.750639943434,-343.92658571264286,1056.331855246095,-0.38360486394014254,-0.047344299546218965,0.922282942302384,-0.5770630741443423,0.7919931466708936,-0.1993616414594793,-0.7210031323236717,-0.6086915252628499,-0.3311330703095652
76,76,True,,1030.2135041833196,-346.17236576593353,1053.7448840254353,-0.3765389441744221,-0.040992375419761425,0.9254934082301487,-0.5980019727538843,0.7737580180915651,-0.2090267208312757,-0.7075394434958903,-0.6321535846583952,-0.3158635485475765
77,77,True,,1031.8636884856533,-348.90244166952397,1051.002958419932,-0.3691106951619068,-0.033540707889169276,0.9287800146597618,-0.6204558140388978,0.7529299726353785,-0.2193878737136964,-0.6919478864354038,-0.6572453706353372,-0.2987250328244955
