row_label,inserted_transition_point,frame_a_origin_dy_mm,frame_a_origin_dz_mm,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
269,0,-4.00033109006982,3.999726425611466,1056.1611895879498,-653.3899110840939,1028.3543471437893,0.12495085911510215,0.202040858361573,0.9713736533172582,0.24681794585441622,-0.9545982228671348,0.1668026813427011,0.960972520112102,0.2189103114323923,-0.1691451776964647
270,0,-4.000169672006606,3.999692857474394,1055.5612457813374,-651.9964437353918,1028.7478259289103,0.13073068058468856,0.2021290678841306,0.9705943174520222,0.2529718811284704,-0.9533906774501004,0.16447323037370432,0.95860039459213,0.2240313729537252,-0.17577038265954173
271,0,-4.000017015054534,3.999657306936302,1054.9581162665063,-650.2767179780942,1029.1473872891168,0.13639830254625096,0.20284312753344938,0.969664977543765,0.2558432972608972,-0.952820619814283,0.16333117798937768,0.9570473918825408,0.22580418966258,-0.1818591697486053
272,0,-3.9999165840607573,3.9996079981252337,1054.3517290469906,-648.9613498390205,1029.5270365138972,0.14248042531810823,0.20249671302103583,0.9688624306973861,0.2630088418387334,-0.9514052134134406,0.16017012519310161,0.9542146915216823,0.23199827823801186,-0.18881504542482555
273,0,-3.999431726949348,3.9995283477105463,1053.8685038826304,-647.7448732243986,1029.8215448002934,0.14753299797664168,0.20167377695073785,0.968277698905871,0.27121413137068273,-0.9497135735627455,0.15648329986144124,0.9511450517417784,0.23952414467252303,-0.1948108689627608
274,0,-3.9989744842728387,3.999394625707357,1053.3935343242856,-647.0259091606528,1030.0614217729155,0.15299757953499854,0.19973448377963726,0.9678315331945502,0.2845777547885047,-0.9467810364442568,0.1504033593676442,0.94636527944339,0.25241197479283917,-0.2016951978734587
275,0,-3.9987983618091967,3.999166818409986,1052.779624916257,-646.3516401530427,1030.4076159678416,0.1597494447736091,0.198182688541117,0.967059324373194,0.2983213091878904,-0.943528082503541,0.1440803734434859,0.9410018657680476,0.2654776440489969,-0.2098502064122106
276,0,-3.998699122179836,3.9993756851335083,1052.1760736106473,-644.8071712852203,1030.7997891114426,0.16565957608960047,0.19870717341515504,0.9659567092179511,0.3030343032208339,-0.9423584361024926,0.1418830115902823,0.9384706260300733,0.2692137387649895,-0.21632578889004073
277,0,-3.998665591757314,3.9993855889462657,1051.5946189630472,-643.0667634736799,1031.1947684145227,0.17119781974576578,0.19965152542973003,0.964795613022716,0.30572057375733136,-0.9416799188399906,0.14061956206373674,0.9366035646396955,0.27088410593294476,-0.2222511279096795
278,0,-3.9987389206435306,3.9993017662087023,1051.0395637578156,-641.5292891745867,1031.5418605555687,0.17681363278737205,0.1999310805778784,0.9637242874803429,0.31060589451674775,-0.9404508885145346,0.13811627197283255,0.9339490979448416,0.274917604585782,-0.22838431018095853
